,road,id,model_type,name,lat,lon,length,condition
0,N1,100001,source,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,0.0,None
1,N1,100002,link,Link,23.702383230000002,90.45109703999995,1800.0,None
2,N1,100003,bridge,.,23.69873866,90.4588610799999,11.3,A
3,N1,100004,link,Link,23.70189927628375,90.49103761317559,7176.000000000001,None
4,N1,100005,bridge,Kanch pur Bridge.,23.7050598925675,90.5232141463513,394.23,A
5,N1,100006,link,Link,23.7007299897392,90.529156563228,1566.9999999999984,None
6,N1,100007,bridge,KATCHPUR BOX CULVERT,23.6964000869109,90.5350989801047,8.0,B
7,N1,100008,link,Link,23.695395350523498,90.5363365287958,337.00000000000153,None
8,N1,100009,bridge,NOYAPARA CULVERT,23.6943906141361,90.5375740774869,6.3,A
9,N1,100010,link,Link,23.694346500525953,90.53764072472475,16.99999999999946,None
10,N1,100011,bridge,ADUPUR CULVERT,23.6943023869158,90.5377073719626,6.3,A
11,N1,100012,link,Link,23.693331269392452,90.5393128808411,398.99999999999915,None
12,N1,100013,bridge,NAYABARI KASPUR BOX CULVERT,23.6923601518691,90.5409183897196,8.3,A
13,N1,100014,link,Link,23.6916360416921,90.54319044273855,512.0000000000005,None
14,N1,100015,bridge,NAYABARI BOX CULVERT,23.6909119315151,90.5454624957575,10.6,B
15,N1,100016,link,Link,23.68966212876775,90.54701051241955,431.0000000000009,None
16,N1,100017,bridge,KHAS PARA BOX CULVERT,23.6884123260204,90.5485585290816,9.3,A
17,N1,100018,link,Link,23.6883660295918,90.5486041683673,13.999999999999346,None
18,N1,100019,bridge,DAWAN BAG BOX CULVERT,23.6883197331632,90.548649807653,6.1,A
19,N1,100020,link,Link,23.686951380095103,90.54992889436701,407.0,None
20,N1,100021,bridge,Madanpur Bridge.(L),23.685583027027,90.551207981081,27.5,A
21,N1,100022,link,Link,23.681693263513502,90.55351370804046,913.9999999999997,None
22,N1,100023,bridge,KAWTALA BOX CULVERT,23.6778035,90.5558194349999,11.9,A
23,N1,100024,link,Link,23.67055628480745,90.55983821489846,1891.0,None
24,N1,100025,bridge,MALIBAG BOX CULVERT,23.6633090696149,90.563856994797,5.55,B
25,N1,100026,link,Link,23.65886738736425,90.5702936098985,1669.0000000000005,None
26,N1,100027,bridge,Langalbandh Bridge.,23.6544257051136,90.576730225,159.52,C
27,N1,100028,link,Link,23.6541989825568,90.5770703225,88.00000000000097,None
28,N1,100029,bridge,Darikandi Bridge (R),23.65397226,90.57741042,20.45,A
29,N1,100030,link,Link,23.6518633296774,90.58097971427415,870.9999999999986,None
30,N1,100031,bridge,Sonakhal Bridge(L),23.6497543993548,90.5845490085483,25.5,A
31,N1,100032,link,Link,23.647861497135,90.5868804949521,649.0000000000009,None
32,N1,100033,bridge,MOLLIK PARA BRIDGE (R),23.6459685949152,90.5892119813559,40.5,C
33,N1,100034,link,Link,23.6419614832268,90.5914396895241,1018.0000000000007,None
34,N1,100035,bridge,KRIBORDI BOX CULVERT,23.6379543715384,90.5936673976923,6.0,A
35,N1,100036,link,Link,23.6358797957692,90.59553074134615,636.9999999999969,None
36,N1,100037,bridge,SHADIPUR BOX CULVERT,23.63380522,90.597394085,10.4,B
37,N1,100038,link,Link,23.6311360353846,90.59984782865385,787.0000000000026,None
38,N1,100039,bridge,Marikhali Bridge(L),23.6284668507692,90.6023015723077,86.92,A
39,N1,100040,link,Link,23.624175036860002,90.6053272287768,1143.9999999999984,None
40,N1,100041,bridge,SANGAKADI CULVERT,23.6198832229508,90.6083528852459,5.5,B
41,N1,100042,link,Link,23.61876200971065,90.60895174791705,268.0000000000007,None
42,N1,100043,bridge,ASHIR CHAR (Right),23.6176407964705,90.6095506105882,224.8,A
43,N1,100044,link,Link,23.615614090427748,90.61022678336894,484.99999999999943,None
44,N1,100045,bridge,Asharirchar-2 Bridge.(R),23.613587384385,90.6109029561497,119.32,A
45,N1,100046,link,Link,23.60817348647165,90.61321732635861,1312.0000000000011,None
46,N1,100047,bridge,Meghna Bridge,23.6027595885583,90.6155316965675,924.85,A
47,N1,100048,link,Link,23.5978707356738,90.6217508168297,1721.9999999999977,None
48,N1,100049,bridge,TATULTALA CULVERT,23.5929818827893,90.6279699370919,5.6,A
49,N1,100050,link,Link,23.59189536876805,90.62910339845101,337.0000000000033,None
50,N1,100051,bridge,BAILAKANDI CULVERT,23.5908088547468,90.6302368598101,5.5,A
51,N1,100052,link,Link,23.588563488643402,90.6323731402597,667.9999999999993,None
52,N1,100053,bridge,MALUAKANDI CULVEDRT,23.58631812254,90.6345094207093,5.6,A
53,N1,100054,link,Link,23.58214907369375,90.6382143648516,1195.0000000000002,None
54,N1,100055,bridge,Bhater char Bridge (L),23.5779800248475,90.6419193089939,172.1,A
55,N1,100056,link,Link,23.574805325272,90.64366761633906,823.0000000000005,None
56,N1,100057,bridge,Anarpara Bridge (L),23.5716306256965,90.6454159236842,29.85,A
57,N1,100058,link,Link,23.5688170106743,90.6470198242062,703.999999999997,None
58,N1,100059,bridge,VITIKANDA - ANAR PUR CULVERT,23.5660033956521,90.6486237247282,34.7,A
59,N1,100060,link,Link,23.56259721264085,90.65218564754925,1066.0000000000025,None
60,N1,100061,bridge,Alipur bridge(R),23.5591910296296,90.6557475703703,27.4,A
61,N1,100062,link,Link,23.55744965987805,90.6577444974636,564.0,None
62,N1,100063,bridge,Bhaber char Bridge(R),23.5557082901265,90.6597414245569,29.85,A
63,N1,100064,link,Link,23.55372524042405,90.6620476499073,649.0000000000009,None
64,N1,100065,bridge,Baushia Bridge(R),23.5517421907216,90.6643538752577,29.87,A
65,N1,100066,link,Link,23.5497399676822,90.66670464253954,655.9999999999989,None
66,N1,100067,bridge,PURRANBUICHE BOX CULVERT,23.5477377446428,90.6690554098214,9.1,A
67,N1,100068,link,Link,23.54768119419635,90.6691237377232,18.99999999999835,None
68,N1,100069,bridge,NOYAPARA,23.5476246437499,90.669192065625,5.2,A
69,N1,100070,link,Link,23.54515503749995,90.6720106390625,795.0000000000017,None
70,N1,100071,bridge,Madhya Baushia Bridge(L),23.54268543125,90.6748292125,72.49,A
71,N1,100072,link,Link,23.541038224025,90.67664350065,519.999999999996,None
72,N1,100073,bridge,BOCTAR KANDI BOX CULVERT,23.5393910168,90.6784577888,5.1,C
73,N1,100074,link,Link,23.5353953386611,90.68295335738,1297.000000000004,None
74,N1,100075,bridge,Baushia bazar Bridge( L ),23.5313996605222,90.68744892596,25.45,A
75,N1,100076,link,Link,23.530775811586402,90.68862205484746,298.9999999999995,None
76,N1,100077,bridge,CHAR BOUSHEA (2),23.5301519626506,90.6897951837349,8.4,A
77,N1,100078,link,Link,23.530268217975298,90.69611772901746,1302.9999999999973,None
78,N1,100079,bridge,Daudkandi Bridge.,23.5303844733,90.7024402743,1408.8,A
79,N1,100080,link,Link,23.53140153665,90.71336049885,2294.000000000004,None
80,N1,100081,bridge,Baldhakhal Bridge,23.5324186,90.7242807234,23.1,C
81,N1,100082,link,Link,23.532088691599952,90.72672936645,555.9999999999974,None
82,N1,100083,bridge,MAIS PARA BOX CULVERT,23.5317587831999,90.7291780095,6.0,B
83,N1,100084,link,Link,23.53078192214995,90.74371562975,3076.0000000000005,None
84,N1,100085,bridge,SHAHID NAGIR,23.5298050611,90.75825325,16.5,C
85,N1,100086,link,Link,23.530285294660402,90.76916648757665,2228.0000000000014,None
86,N1,100087,bridge,SARKAR BARI CULVERT,23.5307655282208,90.7800797251533,3.9,C
87,N1,100088,link,Link,23.5308169345816,90.785943621163,1707.0000000000007,None
88,N1,100089,bridge,AMIRABATH SLAB CULVERT,23.5308683409424,90.7918075171727,6.5,C
89,N1,100090,link,Link,23.5313459087212,90.80141151533635,1512.9999999999982,None
90,N1,100091,bridge,Ginlatoly bridge,23.5318234765,90.8110155135,15.9,A
91,N1,100092,link,Link,23.5323989028,90.82099649484995,2173.9999999999995,None
92,N1,100093,bridge,RAIPUR BOX CULVERT,23.5329743291,90.8309774761999,12.2,A
93,N1,100094,link,Link,23.52794549715,90.83759804469994,1755.0000000000025,None
94,N1,100095,bridge,AITAL BANGA BOX CULVERT,23.5229166652,90.8442186132,4.5,C
95,N1,100096,link,Link,23.5165022117035,90.85996950836764,3692.9999999999977,None
96,N1,100097,bridge,Illiot bazar Bridge,23.510087758207,90.8757204035353,28.9,C
97,N1,100098,link,Link,23.508045096153502,90.88894747121765,2832.000000000001,None
98,N1,100099,bridge,KHAT GHOR BOX CULVERT,23.5060024341,90.9021745389,5.9,B
99,N1,100100,link,Link,23.505807787850003,90.91182028035,1991.9999999999973,None
100,N1,100101,bridge,BAKRA BOX CULVERT,23.5056131416,90.9214660218,3.0,B
101,N1,100102,link,Link,23.5040104632,90.9323539573,2268.000000000001,None
