,road,id,model_type,name,lat,lon,length,condition,chainage
0,N1,100001,sourcesink,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,0.0,,0.0
1,N1,100002,link,Link,23.702383230000002,90.45109703999995,1794.35,NaN,0.9
2,N1,100003,bridge,.,23.69873866,90.4588610799999,11.3,A,1.8
3,N1,100004,link,Link,23.70241098,90.49019408999996,6947.35,NaN,5.2815
4,N1,100005,intersection,Road to Sylhet (N2),23.7060833,90.5215271,20.0,,8.763
5,N1,100006,link,Link,23.70557159628375,90.52237062317565,5.885000000000957,NaN,8.8695
6,N1,100007,bridge,Kanch pur Bridge.,23.7050598925675,90.5232141463513,394.23,A,8.976
7,N1,100008,link,Link,23.7007299897392,90.529156563228,1365.8849999999984,NaN,9.7595
8,N1,100009,bridge,KATCHPUR BOX CULVERT,23.6964000869109,90.5350989801047,8.0,B,10.543
9,N1,100010,link,Link,23.695395350523498,90.5363365287958,329.85000000000156,NaN,10.711500000000001
10,N1,100011,bridge,NOYAPARA CULVERT,23.6943906141361,90.5375740774869,6.3,A,10.88
11,N1,100012,link,Link,23.694346500525953,90.53764072472475,10.69999999999946,NaN,10.8885
12,N1,100013,bridge,ADUPUR CULVERT,23.6943023869158,90.5377073719626,6.3,A,10.897
13,N1,100014,link,Link,23.693331269392452,90.5393128808411,391.6999999999992,NaN,11.096499999999999
14,N1,100015,bridge,NAYABARI KASPUR BOX CULVERT,23.6923601518691,90.5409183897196,8.3,A,11.296
15,N1,100016,link,Link,23.6916360416921,90.54319044273855,502.55000000000047,NaN,11.552
16,N1,100017,bridge,NAYABARI BOX CULVERT,23.6909119315151,90.5454624957575,10.6,B,11.808
17,N1,100018,link,Link,23.69066411575755,90.54602274787875,112.70000000000012,NaN,11.872
18,N1,100019,intersection,Right to Syedpur (R113) left to Joydebpur N105),23.6904163,90.546583,20.0,,11.936
19,N1,100020,link,Link,23.6894143130102,90.54757076454081,288.3500000000008,NaN,12.0875
20,N1,100021,bridge,KHAS PARA BOX CULVERT,23.6884123260204,90.5485585290816,9.3,A,12.239
21,N1,100022,link,Link,23.6883660295918,90.5486041683673,6.299999999999346,NaN,12.246
22,N1,100023,bridge,DAWAN BAG BOX CULVERT,23.6883197331632,90.548649807653,6.1,A,12.253
23,N1,100024,link,Link,23.686951380095103,90.54992889436701,390.2,NaN,12.4565
24,N1,100025,bridge,Madanpur Bridge.(L),23.685583027027,90.551207981081,27.5,A,12.66
25,N1,100026,link,Link,23.681693263513502,90.55351370804046,894.2999999999996,NaN,13.117
26,N1,100027,bridge,KAWTALA BOX CULVERT,23.6778035,90.5558194349999,11.9,A,13.574
27,N1,100028,link,Link,23.67055628480745,90.55983821489846,1882.2749999999999,NaN,14.5195
28,N1,100029,bridge,MALIBAG BOX CULVERT,23.6633090696149,90.563856994797,5.55,B,15.465
29,N1,100030,link,Link,23.65886738736425,90.5702936098985,1586.4650000000004,NaN,16.299500000000002
30,N1,100031,bridge,Langalbandh Bridge.,23.6544257051136,90.576730225,159.52,C,17.134
31,N1,100032,link,Link,23.6541989825568,90.5770703225,-1.9849999999990384,NaN,17.178
32,N1,100033,bridge,Darikandi Bridge (R),23.65397226,90.57741042,20.45,A,17.222
33,N1,100034,link,Link,23.6518633296774,90.58097971427415,848.0249999999986,NaN,17.6575
34,N1,100035,bridge,Sonakhal Bridge(L),23.6497543993548,90.5845490085483,25.5,A,18.093
35,N1,100036,link,Link,23.647861497135,90.5868804949521,616.0000000000009,NaN,18.4175
36,N1,100037,bridge,MOLLIK PARA BRIDGE (R),23.6459685949152,90.5892119813559,40.5,C,18.742
37,N1,100038,link,Link,23.6419614832268,90.5914396895241,994.7500000000007,NaN,19.251
38,N1,100039,bridge,KRIBORDI BOX CULVERT,23.6379543715384,90.5936673976923,6.0,A,19.76
39,N1,100040,link,Link,23.6358797957692,90.59553074134615,628.7999999999969,NaN,20.0785
40,N1,100041,bridge,SHADIPUR BOX CULVERT,23.63380522,90.597394085,10.4,B,20.397
41,N1,100042,link,Link,23.6311360353846,90.59984782865385,738.3400000000025,NaN,20.7905
42,N1,100043,bridge,Marikhali Bridge(L),23.6284668507692,90.6023015723077,86.92,A,21.184
43,N1,100044,link,Link,23.624175036860002,90.6053272287768,1097.7899999999984,NaN,21.756
44,N1,100045,bridge,SANGAKADI CULVERT,23.6198832229508,90.6083528852459,5.5,B,22.328
45,N1,100046,link,Link,23.61876200971065,90.60895174791705,152.85000000000068,NaN,22.462
46,N1,100047,bridge,ASHIR CHAR (Right),23.6176407964705,90.6095506105882,224.8,A,22.596
47,N1,100048,link,Link,23.615614090427748,90.61022678336894,312.9399999999995,NaN,22.8385
48,N1,100049,bridge,Asharirchar-2 Bridge.(R),23.613587384385,90.6109029561497,119.32,A,23.081
49,N1,100050,link,Link,23.60817348647165,90.61321732635861,789.9150000000011,NaN,23.737000000000002
